dt_ymd,_c2
20170401,34351
20170402,20754
20170403,18595
20170404,20416
20170405,30185
20170406,35445
20170407,34806
20170408,25197
20170409,23317
20170410,33441
20170411,33399
20170412,33788
20170413,33693
20170414,38674
20170415,27349
20170416,25268
20170417,36479
20170418,35761
20170419,37167
20170420,36544
20170421,40145
20170422,28476
20170423,26544
20170424,39278
20170425,38787
20170426,39590
20170427,41636
20170428,49073
20170429,28751
20170430,24080
20170501,24984
20170502,34047
20170503,35481
20170504,39260
20170505,42209
20170506,28966
20170507,27265
20170508,39005
20170509,38835
20170510,39946
20170511,43037
20170512,47517
20170513,39270
20170514,49019
20170515,41581
20170516,39683
20170517,40669
20170518,43137
20170519,56165
20170520,47373
20170521,30152
20170522,42938
20170523,43736
20170524,44007
20170525,46683
20170526,49853
20170527,51959
20170528,29960
20170529,25790
20170530,29018
20170531,40689
20170601,46266
20170602,40983
20170603,28950
20170604,27494
20170605,39871
20170606,39881
20170607,38568
20170608,38691
20170609,43004
20170610,29463
20170611,24622
20170612,38444
20170613,37934
20170614,40974
20170615,44808
20170616,49563
20170617,33500
20170618,36747
20170619,44237
20170620,43981
20170621,45785
20170622,44020
20170623,49243
20170624,31995
20170625,28977
20170626,44482
20170627,45569
20170628,47361
20170629,47304
20170630,49172
20170701,32872
20170702,31885
20170703,43299
20170704,40662
20170705,43433
20170706,42439
20170707,54896
20170708,34124
20170709,31505
20170710,47942
20170711,47820
20170712,48741
20170713,51853
20170714,54679
20170715,37380
20170716,33534
20170717,46009
20170718,46003
20170719,44845
20170720,47586
20170721,54696
20170722,31014
20170723,27537
20170724,41811
20170725,41677
20170726,41681
20170727,41078
20170728,44267
20170729,30614
20170730,27694
20170731,41311
20170801,40371
20170802,41731
20170803,42767
20170804,46253
20170805,31930
20170806,29323
20170807,43439
20170808,44451
20170809,43362
20170810,44100
20170811,52306
20170812,39921
20170813,34577
20170814,45896
20170815,43664
20170816,45405
20170817,46658
20170818,51782
20170819,33586
20170820,31037
20170821,46648
20170822,49583
20170823,48689
20170824,50615
20170825,56195
20170826,36027
20170827,46497
20170828,81839
20170829,49208
20170830,49205
20170831,51056
20170901,51720
20170902,36093
20170903,34171
20170904,48416
20170905,48281
20170906,50232
20170907,56151
20170908,65841
20170909,42636
20170910,44842
20170911,54688
20170912,52473
20170913,52301
20170914,56027
20170915,62857
20170916,42022
20170917,40047
20170918,60812
20170919,61455
20170920,62388
20170921,66411
20170922,77658
20170923,47840
20170924,46443
20170925,74254
20170926,74278
20170927,80948
20170928,87012
20170929,87423
20170930,80201
20171001,37635
20171002,34442
20171003,27479
20171004,37380
20171005,24909
20171006,26834
20171007,31687
20171008,44796
20171009,55831
20171010,60635
20171011,53190
20171012,56322
20171013,65126
20171014,49701
20171015,46641
20171016,60326
20171017,60071
20171018,57408
20171019,57474
20171020,64854
20171021,46262
20171022,43587
20171023,28612
20171025,6284
20171026,8323
20171027,10416
20171028,48197
20171029,42250
20171030,58410
20171031,56375
20171101,52593
20171102,53802
20171103,65483
20171104,45869
20171105,42698
20171106,54932
20171107,53985
20171108,55215
20171109,56164
20171110,65820
20171111,45431
20171112,44678
20171113,64789
20171114,63661
20171115,63681
20171116,63095
20171117,78730
20171118,52879
20171119,49280
20171120,66058
20171121,63273
20171122,71921
20171123,71169
20171124,73926
20171125,51308
20171126,52744
20171127,69674
20171128,73646
20171129,69247
20171130,64250
20171201,67892
20171202,50052
20171203,48353
20171204,63731
20171205,60133
20171206,63041
20171207,69179
20171208,73496
20171209,47961
20171210,50819
20171211,71837
20171212,75586
20171213,67363
20171214,76183
20171215,80580
20171216,61640
20171217,45742
20171218,68941
20171219,63950
20171220,67036
20171221,67220
20171222,80518
20171223,48440
20171224,56911
20171225,79565
20171226,66766
20171227,67057
20171228,75566
20171229,79854
20171230,47949
20171231,52031
20180101,47276
20180102,53804
20180103,54694
20180104,55733
20180105,64259
20180106,45691
20180107,43665
20180108,63280
20180109,60220
20180110,64539
20180111,68052
20180112,70123
20180113,49969
20180114,44800
20180115,61158
20180116,56337
20180117,58591
20180118,57733
20180119,63710
20180120,46462
20180121,47536
20180122,64225
20180123,67450
20180124,65057
20180125,67941
20180126,71140
20180127,55450
20180128,46994
20180129,68020
20180130,63154
20180131,65409
20180201,70031
20180202,88335
20180203,56193
20180204,52605
20180205,76787
20180206,71902
20180207,72617
20180208,71723
20180209,71498
20180210,43876
20180211,46121
20180212,37420
20180213,28021
20180214,22133
20180215,7388
20180216,4570
20180217,5289
20180218,5801
20180219,7275
20180220,8450
20180221,11233
20180222,17313
20180223,22946
20180224,29032
20180225,30294
20180226,39094
20180227,41372
20180228,43608
20180301,42379
20180302,51739
20180303,31999
20180304,32259
20180305,43686
20180306,43583
20180307,52168
20180308,63879
20180309,48774
20180310,32249
20180311,29962
20180312,42946
20180313,41839
20180314,45228
20180315,44921
20180316,48767
20180317,42837
20180318,33356
20180319,45290
20180320,45133
20180321,45119
20180322,45880
20180323,50574
20180324,34348
20180325,32672
20180326,49597
20180327,48766
20180328,51239
20180329,52145
20180330,56091
20180331,39026
20180401,36675
20180402,51992
20180403,64147
20180404,68310
20180405,37833
20180406,34627
20180407,31445
20180408,46229
20180409,48483
20180410,51517
20180411,51364
20180412,52961
20180413,70981
20180414,43979
20180415,39116
20180416,56675
20180417,56603
20180418,57046
20180419,57633
20180420,62250
20180421,58132
20180422,45927
20180423,58932
20180424,58758
20180425,61171
20180426,63252
20180427,67710
20180428,64852
20180429,39876
20180430,34920
20180501,41556
20180502,51548
20180503,54412
20180504,60302
20180505,44141
20180506,41204
20180507,56943
20180508,56550
20180509,57353
20180510,59635
20180511,68473
20180512,47282
20180513,58519
20180514,60973
20180515,60929
20180516,60955
20180517,65842
20180518,70954
20180519,53488
20180520,57021
20180521,63999
20180522,61266
20180523,60604
20180524,62050
20180525,70826
20180526,49347
20180527,48875
20180528,65592
20180529,63052
20180530,64879
20180531,70445
20180601,86820
20180602,51598
20180603,45694
20180604,66163
20180605,66941
20180606,65782
20180607,66605
20180608,73583
20180609,61499
20180610,48002
20180611,67703
20180612,69968
20180613,76082
20180614,83583
20180615,98510
20180616,53837
20180617,55108
20180618,55368
20180619,67150
20180620,69198
20180621,71526
20180622,74869
20180623,53067
20180624,49809
20180625,71672
20180626,71503
20180627,77511
20180628,78264
20180629,86689
20180630,64407
20180701,52574
20180702,67083
20180703,60279
20180704,65380
20180705,67177
20180706,78127
20180707,55209
20180708,46881
20180709,66720
20180710,63620
20180711,77736
20180712,71255
20180713,72521
20180714,49673
20180715,53282
20180716,63766
20180717,73855
20180718,68079
20180719,66485
20180720,71173
20180721,50173
20180722,44592
20180723,64585
20180724,63972
20180725,64242
20180726,64710
20180727,68008
20180728,45116
20180729,43631
20180730,64077
20180731,66072
20180801,66463
20180802,65027
20180803,74346
20180804,49748
20180805,49202
20180806,62198
20180807,62681
20180808,61741
20180809,63237
20180810,72730
20180811,47536
20180812,45551
20180813,64209
20180814,62536
20180815,63880
20180816,68898
20180817,117868
20180818,50973
20180819,48566
20180820,66681
20180821,64168
20180822,64148
20180823,66808
20180824,73650
20180825,49077
20180826,46505
20180827,67407
20180828,68272
20180829,69118
20180830,77941
20180831,77866
20180901,55155
20180902,54949
20180903,73902
20180904,75501
20180905,70778
20180906,72391
20180907,77867
20180908,54386
20180909,56928
20180910,85791
20180911,72308
20180912,72735
20180913,73674
