dt_ymd,city_id,order_cnt_sum,order_infos_cnt_sum
20160515,3302,5,5
20160613,4101,32,32
20160617,4401,579,598
20160621,3202,36,37
20160624,6501,24,24
20160625,3502,6,6
20160707,4403,810,928
20160716,2201,109,121
20160723,4301,36,40
20160724,1302,1,1
20160822,2101,68,69
20160908,3302,10,10
20161009,2101,107,107
20161016,4201,144,169
20161024,3302,11,11
20161029,4419,10,15
20161119,2301,248,267
20161122,4101,69,69
20161126,4401,653,666
20161130,3202,26,27
20161216,4403,1325,1618
20161225,2201,249,262
20170201,3201,97,97
20170304,1301,25,25
20170315,3701,199,199
20170326,6101,83,101
20170405,3703,1,1
20170410,1201,562,679
20170429,4201,184,187
20170520,1401,348,394
20170601,5301,21,21
20170629,4403,1466,1577
20170708,3701,265,269
20170719,6101,208,232
20170803,1201,659,752
20170810,3301,2955,3151
20170913,1401,223,227
20170920,3501,94,94
20170928,4101,99,99
20171001,2102,355,367
20171021,6540,19,20
20171103,3201,1194,1250
20171107,3501,128,135
20171110,5301,60,60
20171206,1301,42,47
20171213,3401,166,169
20171217,3701,354,361
20171224,4105,78,78
20171228,4405,3,3
20171228,6101,617,727
20180102,4306,47,47
20180107,3303,244,251
20180116,1101,57434,59157
20180123,3201,1134,1229
20180127,3501,203,222
20180130,4453,16,16
20180130,5301,337,337
20180211,4113,118,118
20180215,4413,35,48
20180217,3503,33,38
20180226,1301,37,39
20180303,3205,419,431
20180305,4415,71,71
20180307,3505,24,24
20180307,5201,99,100
20180326,3310,137,137
20180327,3703,190,190
20180405,4304,824,887
20180406,1305,18,18
20180408,4211,3,3
20180413,5101,11457,11681
20180414,2102,740,776
20180425,4502,4,4
20180428,4409,344,344
20180507,3707,188,188
20180509,1101,65150,67215
20180512,532901,5,5
20180516,3201,1020,1082
20180522,3212,513,515
20180523,4453,259,259
20180523,5301,429,438
20180524,2302,3,3
20180529,5115,3,3
20180531,4402,6,6
20180604,4113,466,466
20180606,3203,244,244
20180608,4413,437,457
20180613,3607,355,355
20180613,5303,193,193
20180619,1301,541,556
20180619,5117,1,1
20180621,4404,43,46
20180622,3101,31606,33002
20180624,4311,167,167
20180626,3401,531,535
20180629,3308,83,83
20180630,2202,677,678
20180703,3609,257,257
20180704,2306,31,31
20180708,4302,536,536
20180708,330782,1,1
20180709,1303,68,68
20180711,4406,216,217
20180712,1407,2,2
20180714,4313,312,315
20180714,422801,98,98
20180716,3403,30,30
20180719,3310,178,180
20180722,5110,177,177
20180723,2111,140,140
20140722,4403,2,2
20141231,4403,24,24
20150110,3301,12,12
20150503,3301,204,212
20150602,1101,2949,3132
20151005,1201,453,518
20151012,3301,1245,1418
20151111,1101,19668,20577
20151115,1401,9,11
20151221,1301,18,18
20160106,5101,2165,2301
20160107,2102,10,10
20160131,1101,13550,14740
20160209,3201,14,14
20160212,5001,194,197
20160315,3101,3048,3255
20160418,1201,310,401
20160425,3301,1356,1572
20160524,1101,15358,15902
20160528,1401,33,34
20160531,3201,843,1020
20160605,5001,649,672
20160609,5301,5,5
20160708,3101,6627,7012
20160711,3205,40,46
20160818,3301,1475,1636
20160821,5101,1986,2149
20160822,2102,27,31
20160917,1101,15409,16229
20160924,3201,443,492
20161008,5101,1900,2010
20161009,2102,52,57
20161114,5001,633,664
20161118,5301,6,6
20161217,3101,5866,6120
20161220,3205,71,76
20170201,3202,8,8
20170204,6501,23,26
20170205,3502,11,11
20170303,4301,67,68
20170315,3702,8,8
20170402,2101,59,61
20170413,4501,276,287
20170422,4419,30,34
20170512,2301,320,336
20170527,5001,1465,1507
20170708,3702,12,12
20170727,5203,1,1
20170802,4201,447,451
20170806,4501,328,333
20170810,3302,11,11
20170815,4419,23,24
20170905,2301,153,158
20170912,4401,1446,1484
20170920,3502,38,38
20170923,5105,10,10
20171020,3604,6,6
20171021,2301,548,551
20171103,3202,34,35
20171106,6501,28,28
20171107,3502,65,65
20171126,3307,45,45
20171205,4301,99,101
20171206,1302,8,8
20171217,3702,10,10
20171228,4406,30,30
20171229,1407,3,3
20180115,4101,409,409
20180119,4401,2508,2574
20180123,3202,55,60
20180125,4412,6,6
20180126,6501,80,84
20180127,3502,307,307
20180205,4103,726,747
20180209,4403,2475,2604
20180213,3204,237,240
20180215,4414,26,26
20180218,2201,6,6
20180225,4301,63,63
20180226,1302,2,2
20180227,420607,98,101
20180303,3206,15,15
20180305,4416,142,142
20180307,3506,146,151
20180324,2101,128,129
20180331,4201,603,629
20180406,1306,166,166
20180409,6301,23,23
20180417,3706,38,42
20180423,3717,117,122
20180424,4110,17,17
20180425,4503,126,126
20180426,1504,3,3
20180503,3408,14,14
20180507,3708,171,171
20180508,4101,793,837
20180511,4205,291,314
20180515,6201,118,118
20180516,3202,272,285
20180518,4412,126,126
20180519,6501,167,239
20180522,3213,359,365
20180531,4403,4770,4965
20180604,4114,286,288
20180606,3204,625,630
20180608,4414,973,993
20180610,3701,344,357
20180613,3608,48,48
20180618,4301,336,336
20180619,1302,1386,1393
20180621,4405,696,703
20180621,6101,750,783
20180624,4312,44,44
20180625,6401,691,733
20180626,3402,287,358
20180630,2203,2,2
20180703,5306,30,30
20180708,4303,31,31
20180709,1304,564,566
20180711,4407,429,431
20180711,6103,272,272
20180712,1408,464,465
20180716,3404,50,50
20180717,2101,368,371
20180719,3311,96,96
20180720,2205,78,78
20180722,3415,465,465
20180722,5111,125,133
20180723,2112,19,19
20140723,3101,6,6
20140907,5101,6,6
20141023,5101,6,6
20141119,1101,74,74
20150212,4401,59,59
20150302,4403,55,55
20150605,4401,189,189
20150719,3205,145,145
20150829,5101,2566,2636
20151004,4201,361,393
20151107,2301,1,1
