,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat__
0,2018-07-09,62751.713071213264,57918.12736657103,72114.49977161999,62751.713071213264,62751.713071213264,0.03764927131966462,0.03764927131966462,0.03764927131966462,0.03764927131966462,0.03764927131966462,0.03764927131966462,0.0,0.0,0.0,65114.26934240511
1,2018-07-10,62701.91715110672,58059.812314105184,73336.8225651352,62701.917151106725,62701.917151106725,0.04867036619582405,0.04867036619582405,0.04867036619582405,0.04867036619582405,0.04867036619582405,0.04867036619582405,0.0,0.0,0.0,65753.6424200313
2,2018-07-11,62652.12123100017,58902.519942677995,73498.49630734907,62652.12123100017,62652.12123100017,0.05641114458783892,0.05641114458783892,0.05641114458783892,0.05641114458783892,0.05641114458783892,0.05641114458783892,0.0,0.0,0.0,66186.39910049694
3,2018-07-12,62602.325325179096,59315.33248340233,75396.02098820082,62602.325325179096,62602.325325179096,0.07455909948769744,0.07455909948769744,0.07455909948769744,0.07455909948769744,0.07455909948769744,0.07455909948769744,0.0,0.0,0.0,67269.89832726032
4,2018-07-13,62552.52941935801,69173.48355847257,84566.74972969122,62552.52941935801,62552.52941935801,0.22834139759007074,0.22834139759007074,0.22834139759007074,0.22834139759007074,0.22834139759007074,0.22834139759007074,0.0,0.0,0.0,76835.86140976824
5,2018-07-14,62502.73351065816,41366.768649973346,57700.00829785098,62502.73351065816,62502.73351065816,-0.21498169005888312,-0.21498169005888312,-0.21498169005888312,-0.21498169005888312,-0.21498169005888312,-0.21498169005888312,0.0,0.0,0.0,49065.79022723688
6,2018-07-15,62452.93760195829,40412.18341108268,55962.73744131549,62452.93760195829,62452.93760195829,-0.23064958912354136,-0.23064958912354136,-0.23064958912354136,-0.23064958912354136,-0.23064958912354136,-0.23064958912354136,0.0,0.0,0.0,48048.19320450845
7,2018-07-16,62403.14169693902,56982.28026524789,72149.40687604225,62403.14169693901,62403.14169693901,0.03764927131995978,0.03764927131995978,0.03764927131995978,0.03764927131995978,0.03764927131995978,0.03764927131995978,0.0,0.0,0.0,64752.574509904975
8,2018-07-17,62353.34579191973,57405.05021039301,73107.41086471594,62353.34579191973,62353.34579191973,0.048670366196069244,0.048670366196069244,0.048670366196069244,0.048670366196069244,0.048670366196069244,0.048670366196069244,0.0,0.0,0.0,65388.1059651626
9,2018-07-18,62303.54988622133,57971.66094692128,73037.74894939712,62303.54988622133,62303.54988622133,0.05641114458816562,0.05641114458816562,0.05641114458816562,0.05641114458816562,0.05641114458816562,0.05641114458816562,0.0,0.0,0.0,65818.16444720895
10,2018-07-19,62253.753980522924,58881.401149653866,74252.30452633656,62253.753980522924,62253.753980522924,0.07455909948786872,0.07455909948786872,0.07455909948786872,0.07455909948786872,0.07455909948786872,0.07455909948786872,0.0,0.0,0.0,66895.33781705004
11,2018-07-20,62203.958680381125,68808.21668484999,83728.94710802098,62203.958680381125,62203.958680381125,0.22834139758987634,0.22834139758987634,0.22834139758987634,0.22834139758987634,0.22834139758987634,0.22834139758987634,0.0,0.0,0.0,76407.69754108226
12,2018-07-21,62154.16338023932,41091.54234025808,56156.41904838756,62154.16338023932,62154.16338023932,-0.2149816900577364,-0.2149816900577364,-0.2149816900577364,-0.2149816900577364,-0.2149816900577364,-0.2149816900577364,0.0,0.0,0.0,48792.1562926308
13,2018-07-22,62107.56575553568,40135.999408087926,54565.813093166835,62107.56575553568,62107.56575553568,-0.23064958912352088,-0.23064958912352088,-0.23064958912352088,-0.23064958912352088,-0.23064958912352088,-0.23064958912352088,0.0,0.0,0.0,47782.48123255932
14,2018-07-23,62060.968130832036,56131.40226466586,72264.93561929643,62060.968130832036,62060.968130832036,0.037649271319755255,0.037649271319755255,0.037649271319755255,0.037649271319755255,0.037649271319755255,0.037649271319755255,0.0,0.0,0.0,64397.51835835641
15,2018-07-24,62027.759163941926,57634.24334969582,72997.57384126417,62027.759163941926,62027.759163941926,0.048670366195475774,0.048670366195475774,0.048670366195475774,0.048670366195475774,0.048670366195475774,0.048670366195475774,0.0,0.0,0.0,65046.672916735755
16,2018-07-25,61994.55019705182,57301.484360502356,73034.02454085904,61994.55019705182,61994.55019705182,0.05641114458798266,0.05641114458798266,0.05641114458798266,0.05641114458798266,0.05641114458798266,0.05641114458798266,0.0,0.0,0.0,65491.73373188466
17,2018-07-26,61983.32010433189,58856.130233987285,73850.64825967645,61983.32010433189,61983.32010433189,0.07455909948761323,0.07455909948761323,0.07455909948761323,0.07455909948761323,0.07455909948761323,0.07455909948761323,0.0,0.0,0.0,66604.74063456335
18,2018-07-27,61972.09001161195,68625.36148897353,84044.8576713819,61972.09001161195,61972.09001161195,0.2283413975901025,0.2283413975901025,0.2283413975901025,0.2283413975901025,0.2283413975901025,0.2283413975901025,0.0,0.0,0.0,76122.88365644305
19,2018-07-28,61989.575259042984,40649.745311240644,56388.234930416045,61989.575259042984,61989.575259042984,-0.21498169005825768,-0.21498169005825768,-0.21498169005825768,-0.21498169005825768,-0.21498169005825768,-0.21498169005825768,0.0,0.0,0.0,48662.95160386036
20,2018-07-29,62007.06050647403,39917.214875038575,55084.55897983133,62007.06050647403,62007.06050647403,-0.23064958912350034,-0.23064958912350034,-0.23064958912350034,-0.23064958912350034,-0.23064958912350034,-0.23064958912350034,0.0,0.0,0.0,47705.157477899775
