,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
0,2017-07-09,43841.75228016874,19041.28789932275,47566.313976740756,43841.75228016874,43841.75228016874,-0.21039116990269888,-0.21039116990269888,-0.21039116990269888,-0.21039116990269888,-0.21039116990269888,-0.21039116990269888,0.0,0.0,0.0,34617.83472735972
1,2017-07-10,43929.34546160757,31627.208275688765,60448.83379715203,43929.34546160757,43929.34546160757,0.0410236909444387,0.0410236909444387,0.0410236909444387,0.0410236909444387,0.0410236909444387,0.0410236909444387,0.0,0.0,0.0,45731.48935321604
2,2017-07-11,44016.93864304641,30382.814389016465,60929.36866041269,44016.93864304641,44016.93864304641,0.03675989061210295,0.03675989061210295,0.03675989061210295,0.03675989061210295,0.03675989061210295,0.03675989061210295,0.0,0.0,0.0,45634.99649264444
3,2017-07-12,44104.53182448524,29607.161072592193,60589.54698438817,44104.53182448524,44104.53182448524,0.04359971720756922,0.04359971720756922,0.04359971720756922,0.04359971720756922,0.04359971720756922,0.04359971720756922,0.0,0.0,0.0,46027.47693960503
4,2017-07-13,44192.12500592407,32211.460350804235,63523.667346860595,44192.12500592407,44192.12500592407,0.06451445011521996,0.06451445011521996,0.06451445011521996,0.06451445011521996,0.06451445011521996,0.06451445011521996,0.0,0.0,0.0,47043.15565010432
5,2017-07-14,44279.7181873629,37651.30915783353,68678.11977496614,44279.7181873629,44279.7181873629,0.18655856152249575,0.18655856152249575,0.18655856152249575,0.18655856152249575,0.18655856152249575,0.18655856152249575,0.0,0.0,0.0,52540.47871701882
6,2017-07-15,44367.31136880174,21101.243802079247,52361.78763999674,44367.31136880173,44367.31136880173,-0.16206514049821896,-0.16206514049821896,-0.16206514049821896,-0.16206514049821896,-0.16206514049821896,-0.16206514049821896,0.0,0.0,0.0,37176.91681828866
7,2017-07-16,44454.90455024057,20114.935098784237,49874.775895673956,44454.90455024057,44454.90455024057,-0.21039116990268017,-0.21039116990268017,-0.21039116990268017,-0.21039116990268017,-0.21039116990268017,-0.21039116990268017,0.0,0.0,0.0,35101.98517400348
8,2017-07-17,44542.497731679396,31372.588861388787,62079.172673716625,44542.497731679396,44542.497731679396,0.04102369094388527,0.04102369094388527,0.04102369094388527,0.04102369094388527,0.04102369094388527,0.04102369094388527,0.0,0.0,0.0,46369.795392492524
9,2017-07-18,44630.09091311823,30745.845969215563,61782.46915159728,44630.09091311823,44630.09091311823,0.03675989061189946,0.03675989061189946,0.03675989061189946,0.03675989061189946,0.03675989061189946,0.03675989061189946,0.0,0.0,0.0,46270.68817308359
10,2017-07-19,44717.684094557066,31188.78384416716,62061.47284875011,44717.684094557066,44717.684094557066,0.043599717207469336,0.043599717207469336,0.043599717207469336,0.043599717207469336,0.043599717207469336,0.043599717207469336,0.0,0.0,0.0,46667.3624752527
11,2017-07-20,44805.2772759959,32456.556070021164,63010.94861137368,44805.2772759959,44805.2772759959,0.06451445011541376,0.06451445011541376,0.06451445011541376,0.06451445011541376,0.06451445011541376,0.06451445011541376,0.0,0.0,0.0,47695.865101725416
12,2017-07-21,44892.87045743473,37741.558809188864,68061.22762553467,44892.87045743473,44892.87045743473,0.18655856152232347,0.18655856152232347,0.18655856152232347,0.18655856152232347,0.18655856152232347,0.18655856152232347,0.0,0.0,0.0,53268.01979258176
13,2017-07-22,44980.46363887357,22946.92710320365,51812.512656449944,44980.46363887357,44980.46363887357,-0.16206514049868043,-0.16206514049868043,-0.16206514049868043,-0.16206514049868043,-0.16206514049868043,-0.16206514049868043,0.0,0.0,0.0,37690.69847954374
14,2017-07-23,45068.0568203124,20538.977190564263,50482.29035538,45068.0568203124,45068.0568203124,-0.21039116990266152,-0.21039116990266152,-0.21039116990266152,-0.21039116990266152,-0.21039116990266152,-0.21039116990266152,0.0,0.0,0.0,35586.13562064725
15,2017-07-24,45155.64999805954,32741.00844584019,61913.604696506714,45155.64999805954,45155.64999805954,0.041023690943331845,0.041023690943331845,0.041023690943331845,0.041023690943331845,0.041023690943331845,0.041023690943331845,0.0,0.0,0.0,47008.1014279252
16,2017-07-25,45243.24317580669,31672.89563200768,61540.00074066984,45243.24317580669,45243.24317580669,0.03675989061203445,0.03675989061203445,0.03675989061203445,0.03675989061203445,0.03675989061203445,0.03675989061203445,0.0,0.0,0.0,46906.37984588302
17,2017-07-26,45330.83635355384,32688.787051871732,62903.61046921943,45330.83635355384,45330.83635355384,0.04359971720750213,0.04359971720750213,0.04359971720750213,0.04359971720750213,0.04359971720750213,0.04359971720750213,0.0,0.0,0.0,47307.24799934834
18,2017-07-27,45418.42953130098,32564.31331639624,64356.79433612822,45418.42953130098,45418.42953130098,0.0645144501154927,0.0645144501154927,0.0645144501154927,0.0645144501154927,0.0645144501154927,0.0645144501154927,0.0,0.0,0.0,48348.57453762211
19,2017-07-28,45506.02270904813,38383.181457784645,69227.4135389158,45506.02270904813,45506.02270904813,0.18655856152236827,0.18655856152236827,0.18655856152236827,0.18655856152236827,0.18655856152236827,0.18655856152236827,0.0,0.0,0.0,53995.560846252374
20,2017-07-29,45593.615886795276,22586.771118493445,53756.186389873765,45593.615886795276,45593.615886795276,-0.16206514049791354,-0.16206514049791354,-0.16206514049791354,-0.16206514049791354,-0.16206514049791354,-0.16206514049791354,0.0,0.0,0.0,38204.4801222939
21,2017-07-30,45681.20906454241,20643.400597516855,51363.287855616654,45681.20906454241,45681.20906454241,-0.21039116990255086,-0.21039116990255086,-0.21039116990255086,-0.21039116990255086,-0.21039116990255086,-0.21039116990255086,0.0,0.0,0.0,36070.286046890316
22,2017-07-31,45768.80224228956,32891.04607780115,62798.836244495455,45768.80224228956,45768.80224228956,0.0410236909439298,0.0410236909439298,0.0410236909439298,0.0410236909439298,0.0410236909439298,0.0410236909439298,0.0,0.0,0.0,47646.40744035109
23,2017-08-01,45856.39542003671,32306.40451012945,62161.13749132378,45856.39542003671,45856.39542003671,0.036759890611907334,0.036759890611907334,0.036759890611907334,0.036759890611907334,0.036759890611907334,0.036759890611907334,0.0,0.0,0.0,47542.071499533624
