cd_holiday_ymd.dt_ymd,cd_holiday_ymd.lunar_calendar,cd_holiday_ymd.is_holiday,cd_holiday_ymd.festival,cd_holiday_ymd.is_weekend
20181216,2018年十一月初十,1,null,2
20181217,2018年十一月十一,0,null,0
20181218,2018年十一月十二,0,null,0
20181219,2018年十一月十三,0,null,0
20181220,2018年十一月十四,0,null,0
20181221,2018年十一月十五,0,null,0
20181222,2018年十一月十六,1,冬至,1
20181223,2018年十一月十七,1,null,2
20181224,2018年十一月十八,0,平安夜,0
20181225,2018年十一月十九,0,圣诞节,0
20181226,2018年十一月二十,0,null,0
20181227,2018年十一月廿一,0,null,0
20181228,2018年十一月廿二,0,null,0
20181229,2018年十一月廿三,1,null,1
20181230,2018年十一月廿四,1,null,2
20181231,2018年十一月廿五,0,null,0
20170101,2016年十二月初四,1,元旦,2
20170102,2016年十二月初五,1,null,0
20170103,2016年十二月初六,0,null,0
20170104,2016年十二月初七,0,null,0
20170105,2016年十二月初八,0,腊八节,0
20170106,2016年十二月初九,0,null,0
20170107,2016年十二月初十,1,null,1
20170108,2016年十二月十一,1,null,2
20170109,2016年十二月十二,0,null,0
20170110,2016年十二月十三,0,null,0
20170111,2016年十二月十四,0,null,0
20170112,2016年十二月十五,0,null,0
20170113,2016年十二月十六,0,null,0
20170114,2016年十二月十七,1,null,1
20170115,2016年十二月十八,1,null,2
20170116,2016年十二月十九,0,null,0
20170117,2016年十二月二十,0,null,0
20170118,2016年十二月廿一,0,null,0
20170119,2016年十二月廿二,0,null,0
20170120,2016年十二月廿三,0,大寒,0
20170121,2016年十二月廿四,1,小年,1
20170122,2016年十二月廿五,0,null,2
20170123,2016年十二月廿六,0,null,0
20170124,2016年十二月廿七,0,null,0
20170125,2016年十二月廿八,0,null,0
20170126,2016年十二月廿九,0,null,0
20170127,2016年十二月三十,1,除夕,0
20170128,2017年正月初一,1,春节,1
20170202,2017年正月初六,1,null,0
20170203,2017年正月初七,0,立春,0
20170204,2017年正月初八,0,null,1
20170205,2017年正月初九,1,null,2
20170206,2017年正月初十,0,null,0
20170207,2017年正月十一,0,null,0
20170208,2017年正月十二,0,null,0
20170209,2017年正月十三,0,null,0
20170210,2017年正月十四,0,null,0
20170211,2017年正月十五,1,元宵节,1
20170212,2017年正月十六,1,null,2
20170213,2017年正月十七,0,null,0
20170214,2017年正月十八,0,情人节,0
20170215,2017年正月十九,0,null,0
20170216,2017年正月二十,0,null,0
20170217,2017年正月廿一,0,null,0
20170218,2017年正月廿二,1,雨水,1
20170219,2017年正月廿三,1,null,2
20170220,2017年正月廿四,0,null,0
20170221,2017年正月廿五,0,null,0
20170222,2017年正月廿六,0,null,0
20170223,2017年正月廿七,0,null,0
20170224,2017年正月廿八,0,null,0
20170225,2017年正月廿九,1,null,1
20170226,2017年二月初一,1,null,2
20170227,2017年二月初二,0,龙抬头,0
20170228,2017年二月初三,0,null,0
20170301,2017年二月初四,0,null,0
20170302,2017年二月初五,0,null,0
20170303,2017年二月初六,0,null,0
20170304,2017年二月初七,1,null,1
20170305,2017年二月初八,1,惊蛰,2
20170306,2017年二月初九,0,null,0
20170307,2017年二月初十,0,null,0
20170308,2017年二月十一,0,妇女节,0
20170309,2017年二月十二,0,null,0
20170310,2017年二月十三,0,null,0
20170311,2017年二月十四,1,null,1
20170312,2017年二月十五,1,植树节,2
20170313,2017年二月十六,0,null,0
20170314,2017年二月十七,0,null,0
20170315,2017年二月十八,0,null,0
20170316,2017年二月十九,0,null,0
20170317,2017年二月二十,0,null,0
20170318,2017年二月廿一,1,null,1
20170319,2017年二月廿二,1,null,2
20170320,2017年二月廿三,0,春分,0
20170321,2017年二月廿四,0,null,0
20170322,2017年二月廿五,0,null,0
20170323,2017年二月廿六,0,null,0
20170324,2017年二月廿七,0,null,0
20170325,2017年二月廿八,1,null,1
20170326,2017年二月廿九,1,null,2
20170327,2017年二月三十,0,null,0
20170328,2017年三月初一,0,null,0
20170329,2017年三月初二,0,null,0
20170330,2017年三月初三,0,null,0
20170331,2017年三月初四,0,null,0
20170401,2017年三月初五,0,愚人节,1
20170402,2017年三月初六,1,null,2
20170403,2017年三月初七,1,null,0
20170404,2017年三月初八,1,清明,0
20170405,2017年三月初九,0,null,0
20170406,2017年三月初十,0,null,0
20170407,2017年三月十一,0,null,0
20170408,2017年三月十二,1,null,1
20170409,2017年三月十三,1,null,2
20170410,2017年三月十四,0,null,0
20170411,2017年三月十五,0,null,0
20170412,2017年三月十六,0,null,0
20170413,2017年三月十七,0,null,0
20170414,2017年三月十八,0,null,0
20170415,2017年三月十九,1,null,1
20170416,2017年三月二十,1,复活节,2
20170417,2017年三月廿一,0,null,0
20170418,2017年三月廿二,0,null,0
20170419,2017年三月廿三,0,null,0
20170420,2017年三月廿四,0,谷雨,0
20170421,2017年三月廿五,0,null,0
20170422,2017年三月廿六,1,null,1
20170423,2017年三月廿七,1,null,2
20170424,2017年三月廿八,0,null,0
20170425,2017年三月廿九,0,null,0
20170426,2017年四月初一,0,null,0
20170427,2017年四月初二,0,null,0
20170428,2017年四月初三,0,null,0
20170429,2017年四月初四,1,null,1
20170430,2017年四月初五,1,null,2
20170501,2017年四月初六,1,劳动节,0
20170502,2017年四月初七,0,null,0
20170503,2017年四月初八,0,null,0
20170504,2017年四月初九,0,青年节,0
20170505,2017年四月初十,0,立夏,0
20170506,2017年四月十一,1,null,1
20170507,2017年四月十二,1,null,2
20170508,2017年四月十三,0,null,0
20170509,2017年四月十四,0,null,0
20170510,2017年四月十五,0,null,0
20170511,2017年四月十六,0,null,0
20170512,2017年四月十七,0,null,0
20170513,2017年四月十八,1,null,1
20170514,2017年四月十九,1,母亲节,2
20170515,2017年四月二十,0,null,0
20170516,2017年四月廿一,0,null,0
20170517,2017年四月廿二,0,null,0
20170518,2017年四月廿三,0,null,0
20170519,2017年四月廿四,0,519,0
20170520,2017年四月廿五,1,520,1
20170521,2017年四月廿六,1,521,2
20170522,2017年四月廿七,0,null,0
20170523,2017年四月廿八,0,null,0
20170524,2017年四月廿九,0,null,0
20170525,2017年四月三十,0,null,0
20170526,2017年五月初一,0,null,0
20170527,2017年五月初二,0,null,1
20170528,2017年五月初三,1,null,2
20170529,2017年五月初四,1,null,0
20170530,2017年五月初五,1,端午节,0
20170531,2017年五月初六,0,无烟日,0
20170601,2017年五月初七,0,儿童节,0
20170602,2017年五月初八,0,null,0
20170603,2017年五月初九,1,null,1
20170604,2017年五月初十,1,null,2
20170605,2017年五月十一,0,芒种,0
20170606,2017年五月十二,0,null,0
20170607,2017年五月十三,0,null,0
20170608,2017年五月十四,0,null,0
20170609,2017年五月十五,0,null,0
20170610,2017年五月十六,1,null,1
20170611,2017年五月十七,1,null,2
20170612,2017年五月十八,0,null,0
20170613,2017年五月十九,0,null,0
20170614,2017年五月二十,0,null,0
20170615,2017年五月廿一,0,null,0
20170616,2017年五月廿二,0,null,0
20170617,2017年五月廿三,1,null,1
20170618,2017年五月廿四,1,618,2
20170619,2017年五月廿五,0,null,0
20170620,2017年五月廿六,0,null,0
20170621,2017年五月廿七,0,夏至,0
20170622,2017年五月廿八,0,null,0
20170623,2017年五月廿九,0,null,0
20170624,2017年六月初一,1,null,1
20170625,2017年六月初二,1,null,2
20170626,2017年六月初三,0,null,0
20170627,2017年六月初四,0,null,0
20170628,2017年六月初五,0,null,0
20170629,2017年六月初六,0,null,0
20170630,2017年六月初七,0,null,0
20170701,2017年六月初八,1,建党日,1
20170702,2017年六月初九,1,null,2
20170703,2017年六月初十,0,null,0
20170704,2017年六月十一,0,null,0
20170705,2017年六月十二,0,null,0
20170706,2017年六月十三,0,接吻日,0
20170707,2017年六月十四,0,小暑,0
20170708,2017年六月十五,1,null,1
20170709,2017年六月十六,1,null,2
20170710,2017年六月十七,0,null,0
20170711,2017年六月十八,0,null,0
20170712,2017年六月十九,0,null,0
20170713,2017年六月二十,0,null,0
20170714,2017年六月廿一,0,null,0
20170715,2017年六月廿二,1,null,1
20170716,2017年六月廿三,1,null,2
20170717,2017年六月廿四,0,null,0
20170718,2017年六月廿五,0,null,0
20170719,2017年六月廿六,0,null,0
20170720,2017年六月廿七,0,null,0
20170721,2017年六月廿八,0,null,0
20170722,2017年六月廿九,1,大暑,1
20170723,2017年六月初一,1,null,2
20170724,2017年六月初二,0,null,0
20170725,2017年六月初三,0,null,0
20170726,2017年六月初四,0,null,0
20170727,2017年六月初五,0,null,0
20170728,2017年六月初六,0,null,0
20170729,2017年六月初七,1,null,1
20170730,2017年六月初八,1,null,2
20170731,2017年六月初九,0,null,0
20170801,2017年六月初十,0,建军节,0
20170802,2017年六月十一,0,null,0
20170803,2017年六月十二,0,null,0
20170804,2017年六月十三,0,null,0
20170805,2017年六月十四,1,null,1
20170806,2017年六月十五,1,null,2
20170807,2017年六月十六,0,立秋,0
20170808,2017年六月十七,0,null,0
20170809,2017年六月十八,0,null,0
20170810,2017年六月十九,0,null,0
20170811,2017年六月二十,0,null,0
20170812,2017年六月廿一,1,null,1
20170813,2017年六月廿二,1,null,2
20170814,2017年六月廿三,0,null,0
20170815,2017年六月廿四,0,null,0
20170816,2017年六月廿五,0,null,0
20170817,2017年六月廿六,0,null,0
20170818,2017年六月廿七,0,null,0
20170819,2017年六月廿八,1,null,1
20170820,2017年六月廿九,1,null,2
20170821,2017年六月三十,0,null,0
20170822,2017年七月初一,0,null,0
20170823,2017年七月初二,0,处暑,0
20170824,2017年七月初三,0,null,0
20170825,2017年七月初四,0,null,0
20170826,2017年七月初五,0,null,0
20170827,2017年七月初六,0,null,0
20170828,2017年七月初七,1,七夕节,2
20170829,2017年七月初八,0,null,0
20170830,2017年七月初九,0,null,0
20170831,2017年七月初十,0,null,0
20170901,2017年七月十一,0,null,0
20170902,2017年七月十二,0,null,0
20170903,2017年七月十三,0,null,0
20170904,2017年七月十四,0,null,0
20170905,2017年七月十五,0,null,0
20170906,2017年七月十六,0,null,0
20170907,2017年七月十七,0,白露,0
20170908,2017年七月十八,0,null,0
20170909,2017年七月十九,1,null,1
20170910,2017年七月二十,1,教师节,2
20170911,2017年七月廿一,0,null,0
20170912,2017年七月廿二,0,null,0
20170913,2017年七月廿三,0,null,0
20170914,2017年七月廿四,0,null,0
20170915,2017年七月廿五,0,null,0
20170916,2017年七月廿六,1,null,1
20170917,2017年七月廿七,1,null,2
20170918,2017年七月廿八,0,null,0
20170919,2017年七月廿九,0,null,0
20170920,2017年八月初一,0,null,0
20170921,2017年八月初二,0,null,0
20170922,2017年八月初三,0,null,0
20170923,2017年八月初四,1,秋分,1
20170924,2017年八月初五,1,null,2
20170925,2017年八月初六,0,null,0
20170926,2017年八月初七,0,null,0
20170927,2017年八月初八,0,null,0
20170928,2017年八月初九,0,null,0
20170929,2017年八月初十,0,null,0
20170930,2017年八月十一,0,null,1
20171001,2017年八月十二,1,国庆节,2
20171002,2017年八月十三,1,null,0
20171003,2017年八月十四,1,null,0
20171004,2017年八月十五,1,中秋节,0
20171005,2017年八月十六,1,null,0
20171006,2017年八月十七,1,null,0
20171007,2017年八月十八,1,null,1
20171008,2017年八月十九,1,寒露,2
20171009,2017年八月二十,0,null,0
20171010,2017年八月廿一,0,null,0
20171011,2017年八月廿二,0,null,0
20171012,2017年八月廿三,0,null,0
20171013,2017年八月廿四,0,null,0
20171014,2017年八月廿五,1,null,1
20171015,2017年八月廿六,1,null,2
20171016,2017年八月廿七,0,null,0
20171017,2017年八月廿八,0,null,0
20171018,2017年八月廿九,0,null,0
20171019,2017年八月三十,0,null,0
20171020,2017年九月初一,0,null,0
20171021,2017年九月初二,1,null,1
20171022,2017年九月初三,1,null,2
20171023,2017年九月初四,0,霜降,0
20171024,2017年九月初五,0,null,0
20171025,2017年九月初六,0,null,0
20171026,2017年九月初七,0,null,0
20171027,2017年九月初八,0,重阳节,0
20171028,2017年九月初九,1,null,1
20171029,2017年九月初十,1,null,2
20171030,2017年九月十一,0,null,0
20171031,2017年九月十二,0,万圣节,0
20171101,2017年九月十三,0,null,0
20171102,2017年九月十四,0,null,0
20171103,2017年九月十五,0,null,0
20171104,2017年九月十六,1,null,1
20171105,2017年九月十七,1,null,2
20171106,2017年九月十八,0,null,0
20171107,2017年九月十九,0,立冬,0
20171108,2017年九月二十,0,null,0
20171109,2017年九月廿一,0,null,0
20171110,2017年九月廿二,0,null,0
20171111,2017年九月廿三,1,双十一,1
20171112,2017年九月廿四,1,null,2
20171113,2017年九月廿五,0,null,0
20171114,2017年九月廿六,0,null,0
20171115,2017年九月廿七,0,null,0
20171116,2017年九月廿八,0,null,0
20171117,2017年九月廿九,0,null,0
20171118,2017年十月初一,1,null,1
20171119,2017年十月初二,1,null,2
20171120,2017年十月初三,0,null,0
20171121,2017年十月初四,0,null,0
20171122,2017年十月初五,0,小雪,0
20171123,2017年十月初六,0,null,0
20171124,2017年十月初七,0,null,0
20171125,2017年十月初八,1,null,1
20171126,2017年十月初九,1,感恩节,2
20171127,2017年十月初十,0,null,0
20171128,2017年十月十一,0,null,0
20171129,2017年十月十二,0,null,0
20171130,2017年十月十三,0,null,0
20171201,2017年十月十四,0,null,0
20171202,2017年十月十五,1,null,1
20171203,2017年十月十六,1,null,2
20171204,2017年十月十七,0,null,0
20171205,2017年十月十八,0,null,0
20171206,2017年十月十九,0,null,0
20171207,2017年十月二十,0,大雪,0
20171208,2017年十月廿一,0,null,0
20171209,2017年十月廿二,1,null,1
20171210,2017年十月廿三,1,null,2
20171211,2017年十月廿四,0,null,0
20171212,2017年十月廿五,0,双十二,0
20171213,2017年十月廿六,0,null,0
20171214,2017年十月廿七,0,null,0
20171215,2017年十月廿八,0,null,0
20171216,2017年十月廿九,1,null,1
20171217,2017年十月三十,1,null,2
20171218,2017年十一月初一,0,null,0
20171219,2017年十一月初二,0,null,0
20171220,2017年十一月初三,0,null,0
20171221,2017年十一月初四,0,null,0
20171222,2017年十一月初五,0,冬至,0
20171223,2017年十一月初六,1,null,1
20171224,2017年十一月初七,1,平安夜,2
20171225,2017年十一月初八,0,圣诞节,0
20171226,2017年十一月初九,0,null,0
20171227,2017年十一月初十,0,null,0
20171228,2017年十一月十一,0,null,0
20171229,2017年十一月十二,0,null,0
20171230,2017年十一月十三,1,null,1
20171231,2017年十一月十四,1,null,2
