dt_ymd,city_id,_c2
20150222,1101,56
20150222,4401,1
20150222,3101,23
20150223,4403,2
20150223,4401,8
20150223,5101,5
20150223,1101,58
20150223,3301,3
20150223,3101,24
20150224,5101,25
20150224,4403,5
20150224,4401,8
20150224,1101,92
20150224,3101,19
20150224,3301,2
20150225,3101,80
20150225,4401,8
20150225,4403,19
20150225,5101,36
20150225,3301,7
20150225,1101,136
20150226,3301,17
20150226,5101,66
20150226,4403,37
20150226,1101,234
20150226,4401,18
20150226,3101,89
20150227,4401,5
20150227,4403,39
20150227,1101,282
20150227,5101,45
20150227,3101,97
20150227,3301,14
20150228,3301,23
20150228,5101,63
20150228,4403,50
20150228,4401,14
20150228,1101,406
20150228,3101,140
20150301,3101,97
20150301,1101,344
20150301,5101,38
20150301,3301,22
20150301,4401,16
20150301,4403,42
20150302,4403,55
20150302,3101,103
20150302,5101,39
20150302,4401,10
20150302,1101,438
20150302,3301,22
20150303,4401,22
20150303,4403,60
20150303,1101,654
20150303,3101,124
20150303,3301,30
20150303,5101,61
20150304,3301,45
20150304,3101,143
20150304,4401,30
20150304,4403,45
20150304,5101,59
20150304,1101,700
20150305,4401,95
20150305,5101,104
20150305,4403,101
20150305,1101,832
20150305,3101,165
20150305,3301,64
20150306,3301,84
20150306,1101,822
20150306,5101,84
20150306,3101,183
20150306,4403,76
20150306,4401,36
20150307,3101,178
20150307,5101,85
20150307,3301,97
20150307,1101,751
20150307,4401,34
20150307,4403,76
20150308,4401,27
20150308,4403,98
20150308,5101,75
20150308,1101,769
20150308,3101,191
20150308,3301,120
20150309,4403,74
20150309,3301,82
20150309,5101,65
20150309,4401,18
20150309,3101,154
20150309,1101,742
20150310,4401,21
20150310,1101,682
20150310,4403,51
20150310,3101,161
20150310,3301,76
20150310,5101,61
20150311,3101,157
20150311,3301,91
20150311,4403,63
20150311,4401,15
20150311,1101,759
20150311,5101,86
20150312,4401,43
20150312,3101,160
20150312,1101,938
20150312,3301,93
20150312,5101,84
20150312,4403,45
20150313,5101,84
20150313,4401,64
20150313,3301,77
20150313,1101,1081
20150313,3101,242
20150313,4403,72
20150314,1101,978
20150314,4401,30
20150314,4403,66
20150314,3101,161
20150314,5101,85
20150314,3301,105
20150315,4401,31
20150315,4403,39
20150315,3101,93
20150315,3301,88
20150315,5101,70
20150315,1101,701
20150316,4401,30
20150316,4403,67
20150316,3101,174
20150316,1101,738
20150316,5101,73
20150316,3301,96
20150317,3101,150
20150317,3301,89
20150317,1101,969
20150317,4401,35
20150317,4403,49
20150317,5101,88
20150318,1101,1016
20150318,4401,36
20150318,4403,61
20150318,3101,193
20150318,3301,116
20150318,5101,92
20150319,1101,984
20150319,5101,91
20150319,4403,92
20150319,4401,38
20150319,3301,107
20150319,3101,224
20150320,4403,84
20150320,5101,141
20150320,3301,120
20150320,3101,246
20150320,1101,1408
20150320,4401,42
